ID,Column Name,Justification (optional)
42151,Death,negative values
42177,Death,negative values
42667,Death,negative values
42888,Death,negative values
43160,Death,negative values
43244,Death,negative values
43246,Death,negative values
43305,Death,negative values
43618,Death,negative values
44466,Death,negative values
44654,Death,negative values
44870,Death,negative values
44997,Death,negative values
45224,Death,negative values
45510,Death,negative values
45563,Death,negative values
45651,Death,negative values
45793,Death,negative values
45798,Death,negative values
45906,Death,negative values
46018,Death,negative values
46287,Death,negative values
46752,Death,negative values
46770,Death,negative values
46915,Death,negative values
47309,Death,negative values
47335,Death,negative values
47848,Death,negative values
48192,Death,negative values
48295,Death,negative values
48752,Death,negative values
48884,Death,negative values
4,Recovered,negative values
225,Recovered,negative values
403,Recovered,negative values
524,Recovered,negative values
583,Recovered,negative values
1001,Recovered,negative values
1006,Recovered,negative values
1052,Recovered,negative values
1170,Recovered,negative values
1278,Recovered,negative values
1385,Recovered,negative values
1421,Recovered,negative values
1473,Recovered,negative values
2066,Recovered,negative values
2128,Recovered,negative values
2163,Recovered,negative values
2602,Recovered,negative values
2653,Recovered,negative values
2729,Recovered,negative values
2822,Recovered,negative values
2986,Recovered,negative values
2987,Recovered,negative values
3390,Recovered,negative values
3430,Recovered,negative values
3816,Recovered,negative values
3867,Recovered,negative values
3898,Recovered,negative values
4048,Recovered,negative values
4300,Recovered,negative values
4315,Recovered,negative values
4320,Recovered,negative values
4829,Recovered,negative values
5005,Recovered,negative values
5199,Recovered,negative values
5277,Recovered,negative values
5502,Recovered,negative values
5542,Recovered,negative values
5611,Recovered,negative values
5632,Recovered,negative values
5719,Recovered,negative values
5864,Recovered,negative values
5866,Recovered,negative values
6382,Recovered,negative values
7233,Recovered,negative values
